name,rate,votes,location,cuisines,approx_cost(for two people)
Green Paprika,3.3 /5,7,Church Street,"North Indian, South Indian, Continental","1,000"
The Bao Belly,3.3 /5,9,Residency Road,Cafe,400
Zaiqa,3.4 /5,8,Richmond Road,"North Indian, Chinese",350
The Chevron Brigade,3.3 /5,4,Brigade Road,"Fast Food, Biryani, Chinese","1,200"
Zuiqa Taste,,0,Richmond Road,"North Indian, Chinese",300
Bhartiya Jalpan,NEW,0,Commercial Street,"North Indian, Street Food",700
Malabar Kitchen,3.2 /5,5,Commercial Street,"Kerala, North Indian, Chinese",300
Vinny's,3.9 /5,215,Brigade Road,"Pizza, Italian, Continental, Desserts",800
Soul City,3.8 /5,216,Lavelle Road,"Italian, Chinese, Continental, North Indian, Seafood, Thai","2,000"
Ozaa,3.8 /5,34,Lavelle Road,"Mediterranean, American, Asian","1,700"
Wangs Kitchen,2.5 /5,22,Ulsoor,Chinese,"1,000"
C Sharp Kitchen,3.6 /5,52,Church Street,"North Indian, Chinese, European",600
Eatato Snack Bar,3.3 /5,11,Brigade Road,"South Indian, North Indian, Chinese, Rolls, Fast Food",400
Casa Express,2.6 /5,26,Residency Road,"Chinese, Italian",400
Bon Sante,3.6 /5,104,Brigade Road,"Cafe, Continental, Italian",800
Meenu Oota Da Maane,3.1 /5,23,Brigade Road,"Seafood, Mangalorean, Chinese",700
Kamat's Palate Korner,4.1 /5,121,Richmond Road,"North Indian, Chinese",600
Glen's Bakehouse,4.4 /5,1109,Lavelle Road,"Bakery, Cafe, Italian, Desserts",600
Dunkin' Donuts,4.0 /5,1087,Brigade Road,"Desserts, Cafe, Beverages, Burger, Fast Food",550
Airlines Hotel,4.0 /5,871,Lavelle Road,"South Indian, North Indian, Street Food",400
Siddiqu Kabab Center,4.4 /5,180,Richmond Road,"Kebab, Rolls",250
Khazana Food Paradise,4.1 /5,364,Richmond Road,"North Indian, Biryani",400
Bhagatram Sweets,3.4 /5,225,Commercial Street,"Street Food, Mithai",300
Mandarin Box,3.9 /5,86,Church Street,Chinese,500
CAMP TANDOOR,3.7 /5,16,Ulsoor,North Indian,300
Indian Coffee House,4.0 /5,1221,Church Street,South Indian,200
Amritsari Kulcha Bite,3.9 /5,114,Ulsoor,North Indian,150
99 Pancakes,4.1 /5,47,Church Street,"Desserts, Ice Cream",300
Taco Bell,3.9 /5,36,Brigade Road,"Mexican, American, Fast Food",600
eat.fit,4.1 /5,118,Church Street,"Cafe, Healthy Food, North Indian, Biryani, Continental, Desserts",300
Leon Grill,4.2 /5,288,St. Marks Road,"Burger, Fast Food",500
Kentacky Chicken Corner,4.0 /5,107,Richmond Road,"Andhra, South Indian",300
Indian Spice Food,3.7 /5,30,Ulsoor,"North Indian, Chinese",300
Northern Route,4.1 /5,161,St. Marks Road,"North Indian, Street Food",300
Juice Junction,4.0 /5,101,St. Marks Road,"Juices, Fast Food",150
Shanthi Sagar,4.1 /5,207,Ulsoor,"South Indian, North Indian, Chinese, Juices",250
Hatti Kaapi,3.8 /5,32,Ulsoor,"South Indian, Street Food",200
Amdo's Corner Tibetan Foods,4.0 /5,47,Richmond Road,"Tibetan, Momos",250
KFC,3.8 /5,200,Brigade Road,"Burger, Fast Food",450
The Chocolate Heaven,NEW,0,Commercial Street,"Desserts, Cafe",600
Indian Chicken Biryani Point,3.3 /5,9,Richmond Road,"Biryani, South Indian",300
Sri Saravana Bhavan,3.9 /5,77,Commercial Street,South Indian,150
Koshy's,3.6 /5,53,Richmond Road,"Bakery, Fast Food",300
Burger King,4.0 /5,660,Commercial Street,"Burger, Fast Food, Beverages",600
Hotel Fanoos,4.0 /5,789,Richmond Road,"Arabian, Biryani, Rolls, Kebab",400
Little White Kitchen,3.8 /5,19,Brigade Road,"Chinese, Continental, North Indian, Italian",200
Haji Ali Juice Centre,4.1 /5,79,Commercial Street,"Fast Food, Pizza, Rolls, Beverages, Juices",350
New Taj,3.2 /5,120,Ulsoor,"North Indian, Chinese",300
The Wok Shop,3.4 /5,7,Ulsoor,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500
Sri Udupi Park,3.8 /5,106,Residency Road,"South Indian, Chinese",200
Hotel Dil Coorg,3.7 /5,80,Ulsoor,"North Indian, South Indian",300
Kabab Souq,3.6 /5,112,Richmond Road,"Kebab, North Indian, Arabian, Chinese",500
Shahi Family Restaurant,3.2 /5,88,Ulsoor,"North Indian, Chinese, South Indian",350
Desi Vdesi,3.9 /5,202,Church Street,"Fast Food, North Indian, Rolls",250
Chickpet Donne Biryani House,3.7 /5,50,Commercial Street,Biryani,250
KKR FOODIES,3.2 /5,60,St. Marks Road,"Fast Food, North Indian",400
Munchies,3.9 /5,65,Brigade Road,"Fast Food, Bakery",250
Vishnu Sagar,3.0 /5,33,Commercial Street,"South Indian, Chinese, North Indian",400
Taste Of Tibet,4.1 /5,341,Brigade Road,"Tibetan, Chinese, Momos",300
SGS Non Veg - Gundu Pulav,3.9 /5,56,St. Marks Road,"Biryani, Fast Food",400
Masala Oota,3.6 /5,79,Residency Road,"South Indian, Biryani",500
New Alameen Restaurant,3.5 /5,30,Ulsoor,"Kerala, North Indian, Chinese",300
Shawarma Time,3.7 /5,82,Ulsoor,Arabian,300
Fatima Bakery,3.7 /5,14,Richmond Road,"Bakery, Fast Food",300
Ramji Chaiwale,3.7 /5,43,Ulsoor,"Beverages, Fast Food",250
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,3.6 /5,26,Shivajinagar,Biryani,300
Mel's Korner,3.7 /5,96,Church Street,Fast Food,500
Deccan Spices,3.7 /5,24,Richmond Road,"Biryani, Mughlai, Fast Food",500
Yomama!!,3.6 /5,8,Brigade Road,"Continental, Burger, Cafe, Steak",800
Paratha Xpress,3.5 /5,8,Ulsoor,"North Indian, Chinese",200
Donne Biryani House,3.4 /5,70,Residency Road,Biryani,400
Kabab Nation Corner,3.5 /5,75,Brigade Road,"Chinese, Arabian, Fast Food",500
Shilpa Veg,3.6 /5,37,Shivajinagar,"South Indian, Street Food, Beverages, Desserts",250
New Udupi Upahar,3.0 /5,7,Richmond Road,"South Indian, North Indian, Chinese",300
Subway,2.8 /5,63,Brigade Road,"Healthy Food, Sandwich, Salad",500
Aaha Andhra,3.6 /5,16,Brigade Road,"Andhra, Biryani, North Indian",900
Kerala Kitchen,3.1 /5,32,Brigade Road,"Kerala, South Indian",200
Donne Biriyani Mane,3.4 /5,63,Church Street,"Biryani, Kebab",400
Platter,2.9 /5,25,Residency Road,"Street Food, Juices",300
Tayabbs,3.7 /5,71,Ulsoor,"Rolls, North Indian, Fast Food",500
Aishwarya Uphar,NEW,0,Ulsoor,"South Indian, North Indian",150
Kaati Zone,3.1 /5,165,Church Street,"Fast Food, Biryani, Rolls",350
Allana Kabab,3.3 /5,4,Richmond Road,North Indian,200
Indira Canteen,,0,Ulsoor,South Indian,300
Five Star Chicken,3.5 /5,27,Ulsoor,"Fast Food, Burger",300
Firewood Biryani,3.9 /5,457,Residency Road,"Biryani, Kebab, Rolls",400
Hotel Metropole,2.9 /5,18,Shivajinagar,"North Indian, Chinese, South Indian",400
The Grand Taj,3.3 /5,37,Shivajinagar,"North Indian, Chinese",350
Faasos,3.9 /5,252,Residency Road,"North Indian, Biryani, Fast Food",500
Juice Shop,3.3 /5,11,Brigade Road,"Street Food, Beverages",200
Mummy Dhaba,3.4 /5,48,Ulsoor,North Indian,300
Ram Prasad Veg,3.7 /5,14,Shivajinagar,South Indian,150
North Indian Hotel,3.4 /5,11,Shivajinagar,North Indian,200
Hotel Ramprasad,4.2 /5,93,Brigade Road,"South Indian, Chinese",300
Gundappa Donne Biryani,3.7 /5,163,St. Marks Road,Biryani,300
Container Coffee,3.5 /5,12,Ulsoor,South Indian,200
Royal Restaurant,3.2 /5,7,Shivajinagar,"North Indian, Chinese",200
Shree Sadguru Refreshment,3.2 /5,4,Ulsoor,"South Indian, Chinese",400
Khan Saheb Grills and Rolls,3.4 /5,26,Langford Town,"Fast Food, Rolls",400
Chilli Chicken,3.0 /5,7,Brigade Road,Fast Food,500
Roll Er Dokaan,3.3 /5,19,Brigade Road,"Street Food, Rolls",300
Chaitanya Veg,3.2 /5,5,Shivajinagar,South Indian,300
Baskin Robbins,3.7 /5,24,Brigade Road,"Ice Cream, Desserts",250
Ambur Hot Dum Biryani,3.1 /5,7,Ulsoor,Biryani,300
DilliBite,3.5 /5,33,Ulsoor,"North Indian, Chinese",600
Maaheshwari Chaat Wala,3.9 /5,27,Ulsoor,Street Food,100
Sri Rama Coffee Shop,,0,Shivajinagar,South Indian,100
New Star Hotel,,0,Shivajinagar,North Indian,200
A1 Ambur Biryani,,0,Shivajinagar,Biryani,200
Kabab and Biryani Centre,,0,Richmond Road,"North Indian, Fast Food",300
Tandoori Platter,,0,Residency Road,North Indian,450
Radhika Veg Delite,,0,Shivajinagar,"South Indian, North Indian",400
Rolls Corner,,0,Brigade Road,"Chinese, Fast Food",300
Bihari Hotel,,0,Brigade Road,Bihari,200
Shilpa Vegetarian Restaurant,,0,Shivajinagar,"South Indian, North Indian, Chinese",350
Pappu BC,,0,Shivajinagar,"North Indian, Biryani",300
DeCafe,,0,Brigade Road,"Salad, Sandwich, Tea, Coffee",300
Svi Food And Juice,,0,Ulsoor,North Indian,250
Apsara Hotel,,0,Shivajinagar,North Indian,150
Home Treat,3.1 /5,7,Brigade Road,North Indian,150
Sri Rama,3.2 /5,4,Shivajinagar,South Indian,200
Kabab Mela,,0,Shivajinagar,"North Indian, Chinese, Kebab",300
Hotel Rangoon,3.7 /5,17,Ulsoor,Burmese,300
Lemon Rice,3.4 /5,12,Ulsoor,South Indian,100
Sri Krishna Foodline,3.3 /5,4,Ulsoor,North Indian,100
Indy's Comfort Food,4.1 /5,399,Shivajinagar,"North Indian, Beverages, Fast Food",300
Sri Krishna Upahar,,0,Shivajinagar,"South Indian, Chinese, Juices, Street Food",200
Hotel Dinesh,,0,Ulsoor,Fast Food,150
Vinay Upahar,,0,Shivajinagar,"South Indian, Juices",200
Maiera Siddiqha Kabab Centre,,0,Shivajinagar,"North Indian, Fast Food",200
Vishwamitra Veg Restaurant,,0,Shivajinagar,"South Indian, North Indian, Chinese, Street Food",200
Shadow Kolkata Katti Rolls & Momos,,0,Brigade Road,"Rolls, Chinese",250
Armani Kabab Centre,,0,Richmond Road,"North Indian, Fast Food",300
Royal Tea House,,0,Shivajinagar,North Indian,100
Jyothi Prakash,,0,Richmond Road,South Indian,150
Shalimar Chaska,,0,Richmond Road,"Fast Food, Chinese",200
Sri Krishna The Dhaba,,0,Richmond Road,"North Indian, Street Food, Fast Food",200
Lakshmi Hotel,,0,Ulsoor,"South Indian, Biryani",300
Ambur Hot Dum Biriyani,,0,Shivajinagar,Biryani,250
Madurai Hotel,,0,Commercial Street,South Indian,150
Night Kitchen,,0,Shivajinagar,"North Indian, Fast Food, Chinese",600
Kerala Home Food,,0,Brigade Road,Kerala,300
The Taste Adda,,0,Ulsoor,"North Indian, Fast Food",200
Crunch Pizzas,2.5 /5,34,Ulsoor,"Italian, Pizza",600
Safa Hotel,,0,Shivajinagar,"North Indian, Biryani",200
Hotel New Sagar,,0,Shivajinagar,"North Indian, Chinese, Biryani",300
Crazy Pizza,,0,Brigade Road,"Pizza, Fast Food",400
Banashankri Donne Biriyani,,0,Ulsoor,"Biryani, Fast Food",300
Tibbs Frankie,3.0 /5,22,St. Marks Road,"Street Food, Rolls",200
K V Canteen,3.5 /5,17,Commercial Street,South Indian,100
Cool Joint,3.6 /5,25,Commercial Street,"Beverages, Desserts",250
Rolls On Wheels,3.5 /5,45,Brigade Road,"Fast Food, Rolls, Momos",300
Delhi Bhavan,3.3 /5,11,Commercial Street,"Street Food, Mithai",150
Sangam Kabab Corner,3.1 /5,4,Ulsoor,"Fast Food, North Indian",300
Hotel Kanchan's Fish & Chicken,3.3 /5,4,Shivajinagar,"South Indian, Chinese",400
Kavya Sagar,2.9 /5,11,Richmond Road,"South Indian, North Indian",250
Mr. Anbu'g Ambur Biryani,3.2 /5,4,Richmond Road,Biryani,300
Food Of Punjab,3.7 /5,19,Ulsoor,North Indian,200
Sona Chicken Kabab,3.2 /5,4,Ulsoor,North Indian,200
Sri Raghavendra Tiffin Center,,0,Shivajinagar,South Indian,200
Hatti Punjab Di,3.4 /5,8,Brigade Road,North Indian,450
Kalpana Fast Food,,0,Richmond Road,"Fast Food, Chinese",150
Gowdara Naati Mane,3.4 /5,7,Residency Road,"South Indian, Biryani, Mangalorean",500
Kanis Kitchen,3.6 /5,14,Shivajinagar,South Indian,250
Brigade Paradise Hotel,,0,Brigade Road,"Chinese, Fast Food, Rolls",400
New Select Hotel,3.4 /5,5,Richmond Road,South Indian,200
Hotel Ashoka,3.7 /5,11,Shivajinagar,South Indian,200
Dine In,3.5 /5,8,Brigade Road,"Kerala, South Indian, North Indian, Chinese",400
Sagar Chats,3.8 /5,38,Commercial Street,"Chinese, Beverages, Street Food",300
Bhaiya Ji Food Court,3.0 /5,16,Ulsoor,"North Indian, Street Food",150
Bangalore Bytes,3.5 /5,121,Brigade Road,"Fast Food, South Indian, Biryani",300
The London Shakes,3.4 /5,8,Church Street,"Pizza, Burger, Coffee, Beverages",500
Grahaira,,0,Commercial Street,North Indian,300
Rescafe,3.8 /5,41,Residency Road,Beverages,100
Hotel Vinitha,3.2 /5,5,Shivajinagar,"South Indian, North Indian, Chinese",150
Sultan Shah's Restaurant,3.2 /5,9,Shivajinagar,North Indian,200
Kung Foods,,0,Commercial Street,Chinese,500
KUNG FOOD,,0,Commercial Street,Chinese,400
Sattuani,3.5 /5,10,St. Marks Road,"Bihari, North Indian, Fast Food",250
Food Court,,0,Richmond Road,Fast Food,100
Cafe MingoÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs,,0,Richmond Road,"Fast Food, Beverages",200
Shiv Sager,3.0 /5,10,Brigade Road,"South Indian, North Indian, Chinese",200
Sri Udupi Grand,,0,Brigade Road,"South Indian, Chinese",200
K.B.R Fast Food,,0,Richmond Road,South Indian,300
Rizq Restaurant,,0,Richmond Road,Biryani,150
R.K Biryani & Chinese Fast Food,,0,Richmond Road,Biryani,200
Hotel New Mezban,,0,Richmond Road,South Indian,250
New A1 Chicken Biryani Point,3.1 /5,6,Shivajinagar,Biryani,300
Lazzet Lee,NEW,0,Lavelle Road,Mughlai,600
M.R.S Hotel,,0,Ulsoor,"South Indian, Chinese",300
Best Biryani,,0,Ulsoor,"Biryani, North Indian",300
Chinese Corner,3.1 /5,5,Brigade Road,Chinese,200
Caffe Maven,3.6 /5,26,Residency Road,"Chinese, North Indian",300
Desi Streat,,0,Brigade Road,"South Indian, Street Food",400
Al-Safaa Chinese Fast Food,,0,Shivajinagar,"Chinese, Fast Food",250
Sweet Chariot Cafe,3.8 /5,113,Residency Road,"Desserts, Bakery",500
MDP Coffee House,3.6 /5,16,Commercial Street,South Indian,200
BIB-Breakfast In The Box,,0,Ulsoor,"American, Continental",600
Shawarma Inc,3.1 /5,28,Brigade Road,"Rolls, Lebanese",250
Bharathi Dosa Camp,3.2 /5,7,Commercial Street,South Indian,100
Galaxy 2 Restaurant,3.2 /5,4,Shivajinagar,"North Indian, Chinese, Kerala, Arabian",400
Kshathriya's Naati Junction,NEW,0,Richmond Road,South Indian,250
Shiv Sagar,NEW,0,Brigade Road,"South Indian, Chinese, North Indian",250
Hammered,4.7 /5,4840,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe","1,300"
The Bangalore Cafe,4.2 /5,515,Shanti Nagar,"Modern Indian, North Indian, Pizza, Continental, Beverages",800
Samarkand,4.1 /5,2050,Infantry Road,"North Indian, Mughlai","1,600"
1Q1,4.3 /5,606,Infantry Road,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","2,500"
Eden Park,4.1 /5,632,Cunningham Road,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","1,100"
The Culinarium,4.0 /5,35,Vasanth Nagar,"Cafe, Desserts, Beverages","1,100"
Dolci Desserts,4.3 /5,657,Cunningham Road,"Cafe, Desserts",750
Suryawanshi,4.2 /5,452,Indiranagar,"Seafood, Maharashtrian",700
Skylit - Citrus Hotels,4.1 /5,327,Cunningham Road,"North Indian, Mughlai, Mediterranean","1,300"
Banjara Melting Pot,4.2 /5,476,Cunningham Road,"North Indian, Chinese, Seafood","1,700"
Shezan,4.1 /5,398,Cunningham Road,"Chinese, Continental, North Indian, Mughlai, Steak",600
Infinitea Tea Room & Tea Store,4.2 /5,865,Cunningham Road,"Continental, Cafe, Desserts, Salad, Momos","1,000"
Red Onion,4.2 /5,570,Shanti Nagar,"Chinese, North Indian, Biryani, Kebab","1,200"
Siddique Kabab Centre,3.9 /5,435,Frazer Town,"Mughlai, Kebab, Chinese",550
Raidan Restaurant,3.9 /5,175,Frazer Town,"Arabian, Chinese, Fast Food",600
Peace Restaurant,2.9 /5,111,Shanti Nagar,"Chinese, Tibetan, North Indian",500
Peppa Zzing,4.3 /5,1135,Infantry Road,"Cafe, Fast Food, Burger",800
Cafe Imroze,3.7 /5,97,Infantry Road,"Cafe, Burger, Italian, Fast Food",650
Thom's Bakery,4.1 /5,215,Frazer Town,"Bakery, Fast Food",200
Zaks Mediterranean Cuisine,3.9 /5,256,Frazer Town,"Mediterranean, Arabian, Lebanese",700
Gokul Kuteera,3.9 /5,260,Indiranagar,"North Indian, Chinese",650
Sendhoor Coffee,3.9 /5,54,Indiranagar,"Coffee, South Indian",200
Ta'aam,4.1 /5,405,Cunningham Road,"North Indian, Mughlai, Arabian, Chinese",750
The Oriental Spice - Ashraya Hotel,3.8 /5,160,Infantry Road,"Chinese, Thai, Indonesian","1,300"
Shyvan Restaurant,3.7 /5,83,Shanti Nagar,"North Indian, Chinese",500
Kanteen 038,3.9 /5,54,Indiranagar,"Tea, Beverages, Fast Food",200
Mint Masala,2.8 /5,255,Infantry Road,"North Indian, Chinese","1,000"
Kim Lee Restaurant,3.8 /5,263,Indiranagar,"Chinese, Momos",650
Kareem's,3.6 /5,33,Frazer Town,"North Indian, Mughlai",700
Nisarga Garden,4.0 /5,90,Infantry Road,"South Indian, Chinese, Street Food, Juices",300
Maratha Darshan,4.0 /5,109,Cunningham Road,"Maharashtrian, North Indian",400
Give Me 5 Cafe,3.3 /5,90,Indiranagar,"Cafe, Healthy Food",500
Meaza Ginger Multi Cuisine Restaurant,3.7 /5,93,Indiranagar,"North Indian, Chinese",500
Masala Central,3.7 /5,77,Frazer Town,North Indian,300
Lickity Garden,3.7 /5,26,Frazer Town,"Continental, Mexican, Biryani, Italian, Chinese, Arabian, Steak",750
Donne Biriyani House,4.0 /5,494,Indiranagar,Biryani,300
Barista,3.7 /5,35,Shanti Nagar,Cafe,300
Wazir's,3.3 /5,262,Shanti Nagar,"North Indian, Chinese",500
Pathaan Sir,3.4 /5,157,Indiranagar,"Rolls, Chinese",300
The Chennai Express,3.8 /5,171,Indiranagar,"South Indian, Chinese, North Indian",250
Taipan,3.5 /5,128,Frazer Town,"Chinese, Momos",700
Fish Factory-Citrus Hotel,3.9 /5,39,Cunningham Road,Seafood,"2,600"
Sanman Veg,3.5 /5,14,Cunningham Road,"South Indian, North Indian, Chinese",250
Pathy's Kitchen,3.5 /5,21,Indiranagar,Andhra,500
Indira Darshini,3.1 /5,6,Cunningham Road,"South Indian, Chinese",200
24 Carats - The Capitol,3.1 /5,46,Cunningham Road,"Asian, Continental","1,000"
Aroma Of Asia,3.9 /5,49,Frazer Town,"Chinese, Momos",400
Cafe Monarch Luxur,3.8 /5,23,Infantry Road,"North Indian, South Indian, Chinese, Fast Food",800
Ammi's Biryani,2.7 /5,231,Indiranagar,"Biryani, North Indian",350
Shahi Kabab,3.9 /5,41,Frazer Town,Rolls,200
Oregano Pizzeria,3.5 /5,61,Frazer Town,"Italian, Pizza",300
BISO - Citrus Hotels,3.9 /5,158,Cunningham Road,"North Indian, South Indian, Italian, Continental","1,100"
Bazaar- Zone By The Park,3.8 /5,52,Infantry Road,"Continental, South Indian, North Indian, Asian","1,100"
Just Bake,3.5 /5,33,Shanti Nagar,Bakery,400
Samrudh Veg,3.5 /5,12,Cunningham Road,"South Indian, Chinese",200
Shanthi Sagar Deluxe,2.7 /5,54,Frazer Town,"South Indian, North Indian, Fast Food",500
M.M.A Kababs Rolls & Biryani Center,2.7 /5,66,Old Madras Road,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400
Hushy's Kitchen,3.5 /5,58,Shanti Nagar,Fast Food,300
Cafe Sandarshini,,0,Shanti Nagar,"South Indian, North Indian",200
Irene's Cafe & Deli - Citrus Hotels,,0,Cunningham Road,Cafe,"1,000"
MACHALI,,0,Frazer Town,Mangalorean,
Sandhya Sagar,,0,Shanti Nagar,"North Indian, Chinese, South Indian",300
Aishwarya Bar and Restaurant,,0,Indiranagar,Finger Food,800
Aathithya,3.1 /5,16,Infantry Road,"North Indian, Continental, Chinese","1,100"
Fish N Spice,,0,Frazer Town,"Chinese, Continental",500
Popat,3.2 /5,43,Indiranagar,North Indian,300
Srinidhi Sagar Food Line,3.7 /5,131,Indiranagar,"South Indian, North Indian, Chinese",250
Ambur Dum Biriyani,3.1 /5,11,Indiranagar,"Biryani, Kebab",150
Chaithanya Andhra Style Family Restaurant,3.2 /5,4,Cunningham Road,"Andhra, North Indian, Chinese",600
Unicorn Bar & Restaurant,3.9 /5,119,Infantry Road,"Seafood, North Indian, Chinese",800
R.K Caterers,,0,Frazer Town,North Indian,350
The Bong,3.1 /5,38,Frazer Town,"Bengali, North Indian",300
Mallige,3.2 /5,5,Race Course Road,"North Indian, South Indian",700
Loca Moca,2.9 /5,45,Frazer Town,"Cafe, Continental",600
Reddy's Hotel,,0,Indiranagar,Andhra,150
Fahad Kabab Centre,,0,Frazer Town,"Kebab, Chinese, Biryani",150
Vani Hindu Military Hotel,3.3 /5,4,Indiranagar,South Indian,250
Bettaiah Military Hotel,3.3 /5,4,Shanti Nagar,South Indian,250
Happie Hippies,,0,Vasanth Nagar,"Mediterranean, European, Healthy Food",500
South Inn,3.1 /5,24,Frazer Town,South Indian,150
Kolkatta Famous Chat,3.7 /5,23,Indiranagar,"Street Food, North Indian",100
Metro Military Hotel,,0,Shanti Nagar,"South Indian, Chinese, North Indian",300
Cloud Foods,NEW,0,HSR,"BBQ, Biryani, Charcoal Chicken, Chinese, North Indian, Kerala, Seafood, Street Food",600
F M Biryani Plaza,,0,Frazer Town,Biryani,200
Dosa Mania,,0,HSR,"South Indian, Fast Food",200
Let's Eat Desi Chinese,,0,Shanti Nagar,Chinese,300
21 Corner Haus Cafe,,0,Shanti Nagar,"North Indian, Chinese, Biryani",300
Fortuna Turban Tadka,,0,Uttarahalli,"Chinese, North Indian",300
Spicy Gobi Magic,,0,Shanti Nagar,"South Indian, Chinese, Sandwich",150
Homely Kitchen,NEW,0,Indiranagar,"North Indian, Chinese",300
Pooja Veg,3.1 /5,9,Frazer Town,South Indian,100
Ambur Biryani,,0,Frazer Town,"Biryani, Kebab",300
Chitu's Kitchen,3.5 /5,11,Indiranagar,"North Indian, Chinese",450
Al Sadique Restaurant,3.4 /5,32,Frazer Town,"Mughlai, North Indian, Street Food",350
Rahhams,2.8 /5,157,Cunningham Road,"Mughlai, North Indian, Chinese",700
Queens Food Corner,3.1 /5,11,Cunningham Road,"Kerala, South Indian",200
BR Military Hotel,3.1 /5,6,Indiranagar,North Indian,300
Sri Udupi Grand,3.2 /5,9,Shanti Nagar,"South Indian, North Indian, Chinese",350
Sri Ganesh Fast Food,,0,Shanti Nagar,"South Indian, North Indian, Fast Food",200
Bombay Food Express,3.7 /5,18,Shanti Nagar,"Street Food, Fast Food",250
Sapthagiri's Naidu Eating Point,3.4 /5,5,Frazer Town,"South Indian, Biryani",300
Bismillah Ambur Biryani,3.1 /5,7,Indiranagar,Biryani,150
New Roll Centre,3.3 /5,7,Indiranagar,"Fast Food, Rolls",150
SSD Kitchen,,0,Indiranagar,Biryani,150
Pizza Stop,3.9 /5,147,Cunningham Road,"Pizza, Italian",600
The French Loaf,2.8 /5,142,Frazer Town,"Bakery, Desserts",300
M9 - Citrus Hotels,3.1 /5,10,Cunningham Road,"North Indian, Continental, Finger Food",800
Double Decker,4.3 /5,2716,Brigade Road,"Continental, North Indian","1,300"
Alchemy - The Chancery Pavilion,4.3 /5,485,Residency Road,Modern Indian,"2,000"
NoLimmits Lounge and Club,4.1 /5,2169,Brigade Road,"Chinese, Continental, North Indian","2,000"
The 13th Floor,4.4 /5,4611,MG Road,"Asian, North Indian, Thai","1,700"
SkyDeck By Sherlock's,4.2 /5,1461,MG Road,"Continental, Chinese, Finger Food, North Indian","1,500"
Bangalore Pub Exchange,4.2 /5,225,MG Road,"Continental, Finger Food, Pizza, North Indian","1,000"
Smaaash,4.2 /5,549,MG Road,"North Indian, Pizza, Chinese","1,500"
Ice - Taj MG Road Bengaluru,4.1 /5,613,MG Road,Continental,"2,800"
i-Bar - The Park Bangalore,3.8 /5,623,MG Road,"North Indian, Chinese, Mediterranean","3,000"
WYT RestroPub,2.6 /5,408,MG Road,"North Indian, Chinese","1,000"
Aqua - The Park Bangalore,4.0 /5,195,MG Road,"North Indian, Mediterranean, Chinese","3,000"
Mighty Small,4.1 /5,259,MG Road,"Continental, Chinese",
White Plate,4.2 /5,261,MG Road,"Thai, Continental, North Indian","1,500"
Communiti,4.6 /5,4021,Residency Road,"Continental, BBQ, Salad","1,500"
Skyye,4.2 /5,3133,Lavelle Road,Continental,"2,500"
Arbor Brewing Company,4.5 /5,8413,Brigade Road,"American, Continental","2,000"
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,4.4 /5,888,Lavelle Road,"Asian, Japanese, Thai","3,000"
Shiro,4.4 /5,2242,Lavelle Road,"Japanese, Asian","3,000"
The Permit Room,4.5 /5,1602,Brigade Road,South Indian,"1,500"
ShakesBierre,4.4 /5,371,Brigade Road,"Asian, Continental, European, North Indian","1,500"
Farzi Cafe,4.4 /5,2428,Lavelle Road,Modern Indian,"1,500"
Hard Rock Cafe,4.5 /5,5284,St. Marks Road,"American, BBQ","2,500"
MISU,4.5 /5,1250,St. Marks Road,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean","1,700"
Bangalore Brew Works,4.3 /5,2233,Residency Road,"Continental, Italian","1,700"
Fava,4.4 /5,2054,Lavelle Road,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","1,200"
Soda Bottle Opener Wala,4.4 /5,3712,Lavelle Road,"Parsi, North Indian","1,300"
The Bar Stock Exchange,4.2 /5,643,St. Marks Road,"Continental, Chinese, North Indian, Finger Food","1,300"
The Biere Club,4.3 /5,3496,Lavelle Road,"Continental, BBQ, Finger Food","1,700"
Alchemy - The Chancery Pavilion,4.3 /5,485,Residency Road,Modern Indian,"2,000"
Sanchez,4.3 /5,1050,Lavelle Road,"Mexican, Tex-Mex","1,500"
RockSalt,4.4 /5,498,St. Marks Road,Modern Indian,"1,900"
Hoppipola,4.3 /5,1721,Church Street,"Continental, Mediterranean, European","1,300"
Tree Tops Bar & Kitchen,4.4 /5,133,Lavelle Road,"North Indian, Chinese, Continental, Italian","1,000"
Watson's,4.2 /5,1430,Ulsoor,"Finger Food, North Indian","1,300"
The Barn - Bar & Kitchen,4.2 /5,261,Brigade Road,"American, North Indian, Chinese","1,500"
Bang - The Ritz-Carlton,4.2 /5,479,Residency Road,Finger Food,"3,000"
Easy Tiger,4.3 /5,2272,Church Street,"Finger Food, Continental","1,100"
Capri Gastrobar,4.3 /5,300,St. Marks Road,"Mediterranean, Italian, Asian","1,200"
